削除された単語一覧（frequency=0 = コーパスに未出現）
削除件数: 53,409 件
==================================================

-冊	-サツ
-方	-ホウ
-様	-サマ
-氏	-シ
-番目	-バンメ
-風	-カゼ
1/4マイル	1/4マイル
100万命令毎秒	100マンメイレイマイビヨウ
お臍	オヘソ
お花	オハナ
お花畑	オハナハタ
お花畠	オハナバタケ
お芽出たさ	オメデタサ
お芽出度	オメシユツド
お茶	オチヤ
お茶の子	オチヤノコ
お茶用ワゴン	オチヤヨウワゴン
お茶菓子	オチヤガシ
お荷物	オニモツ
お菓子	オカシ
お菰	オコモ
お薦	オセン
お袋	オフクロ
お襁褓	オオシメ
お詫び	オワビ
お誕生日ケーキ	オタンジヨウビケーキ
お負	オフ
お負け	オマケ
お貰	オセイ
お足	オアシ
お辞儀	オジギ
お辞宜	オジギ
お近づき	オチカヅキ
お近付き	オチカヅキ
お返し	オカエシ
お返しに	オカエシニ
お返しをする	オカエシヲスル
お通じ	オツウジ
お通夜	オツヤ
お遍路	オヘンロ
お道化	オドウケ
お達し	オタツシ
お邪魔	オジヤマ
お部屋	オヘヤ
お酒	オサケ
お金	オキン
お釜	オカマ
お針	オハリ
お針子	オハリコ
お釣	オツリ
お釣り	オツリ
お銭	オセン
お鍋	オナベ
お開き	オヒラキ
お隠れになる	オカクレニナル
お霊屋	オオタマヤ
お頭	オアタマ
お題目	オダイモク
お願いごと	オネガイゴト
お願い事	オネガイゴト
お食事処	オシヨクジトコロ
お馴染	オナジミ
お馴染み	オナジミ
お髪	オカミ
かあ様	カアサマ
かいつまむ	カイツマム
かいつまんで話す	カイツマンデハナス
かいな	カイナ
かいない	カイナイ
かいば	カイバ
かいま見る	カイマミル
かい摘む	カイツム
かい撫でる	カイナデル
かい渋	カイシブ
かい潜る	カイモグル
かい繕う	カイツクロウ
かえって	カエツテ
かかげる	カカゲル
かかし	カカシ
かかり合い	カカリアイ
かかわり合い	カカワリアイ
かがみ	カガミ
かがみ込む	カガミコム
かがむ	カガム
かがむこと	カガムコト
かがり火	カガリヒ
かがる	カガル
かき乱す	カキミダス
かき交ぜる	カキマゼル
かき傷	カキキズ
かき分ける	カキワケル
かき切る	カキキル
かき回して捜すこと	カキマワシテサガスコト
かき回す	カキマワス
かき撫でる	カキナデル
かき攫う	カキサラウ
かき消える	カキキエル
かき消す	カキケス
かき混ぜる	カキマゼル
かき田	カキタ
かき立てる	カキタテル
かき起こす	カキオコス
かき込む	カキコム
かき退ける	カキシリゾケル
かき集める	カキアツメル
かき鳴らす	カキナラス
かぎ付ける	カギツケル
かぎ出す	カギダス
かぎ分ける	カギワケル
かぎ取る	カギトル
かぎ針編み	カギハリアミ
かくまう	カクマウ
かくも	カクモ
かぐわしい	カグワシイ
かけら	カケラ
かける	カケル
かけ合う	カケアウ
かけ合わす	カケアワス
かけ合わせ	カケアワセ
かけ合わせる	カケアワセル
かけ替え	カケカエ
かけ替える	カケカエル
かけ橋	カケハシ
かけ渡す	カケワタス
かけ算	カケサン
かげろう	カゲロウ
かこい女	カコイオンナ
かこち種	カコチタネ
かこつけ	カコツケ
かこつけ言	カコツケゲン
かごの鳥	カゴノトリ
かさかさ鳴る	カサカサナル
かさなり合う	カサナリアウ
かさばる	カサバル
かさぶた	カサブタ
かさむ	カサム
かさ高	カサタカ
かさ高い	カサタカイ
かさ高さ	カサタカサ
かざり付ける	カザリツケル
かしずく	カシズク
かしましい	カシマシイ
かしら文字	カシラモジ
かす	カス
かすか	カスカ
かすかに	カスカニ
かすかに光る	カスカニヒカル
かすむ	カスム
かすめる	カスメル
かすめ取る	カスメトル
かすり傷	カスリキズ
かすり疵	カスリキズ
かすれ声で	カスレコエデ
かぞえ上げる	カゾエアゲル
かたきし	カタキシ
かたくな	カタクナ
かたくなさ	カタクナサ
かたずをのんで	カタズヲノンデ
かたづける	カタヅケル
かたまり	カタマリ
かたまりにする	カタマリニスル
かたわ	カタワ
かた付ける	カタツケル
かた書き	カタカキ
かちっと	カチツト
かち合う	カチアウ
かっこうの的	カツコウノテキ
かっこ良い	カツコヨイ
かっ払う	カツハラウ
かっ攫う	カツサラウ
かついで運ぶ	カツイデハコブ
かつぎ屋	カツギヤ
かつて	カツテ
かつてない	カツテナイ
かつての	カツテノ
かつふつ	カツフツ
かつら	カツラ
かてて加えて	カテテクワエテ
かど	カド
かど張らす	カドハラス
かなう	カナウ
かなぐり棄てる	カナグリステル
かなたに	カナタニ
かなとこ雲	カナトコクモ
かなめ	カナメ
かなら	カナラ
かならず	カナラズ
かなり	カナリ
かなり離れた場所	カナリハナレタバシヨ
かばい立て	カバイタテ
かばんもち	カバンモチ
かばん持ち	カバンモチ
かびる	カビル
かび臭い	カビクサイ
かび臭さ	カビシユウサ
かぶりつく	カブリツク
かぶり笠	カブリカサ
かぶれる	カブレル
かまい付ける	カマイツケル
かみつき	カミツキ
かみつく	カミツク
かみのけ座	カミノケザ
かみ付く	カミツク
かみ傷	カミキズ
かみ分ける	カミワケル
かみ切る	カミキル
かみ割る	カミワル
かみ合う	カミアウ
かみ合わす	カミアワス
かみ殺す	カミコロス
かみ潰す	カミツブス
かみ砕く	カミクダク
かみ鳴らす	カミナラス
かむ	カム
かもじ	カモジ
かゆみ	カユミ
からかい半分で	カラカイハンブンデ
からかい合う	カラカイアウ
からきし	カラキシ
からきり	カラキリ
からくり	カラクリ
からざお	カラザオ
からだ付き	カラダツキ
からっきり	カラツキリ
からっ穴	カラツアナ
からにすること	カラニスルコト
からまり	カラマリ
からめ捕る	カラメトル
から世辞	カラセジ
から元気	カラゲンキ
から威張り	カライバリ
から騒ぎ	カラサワギ
かりかりに揚げる	カリカリニアゲル
かり立てる	カリタテル
かり集める	カリアツメル
かれこれ	カレコレ
かわいい	カワイイ
かわいそう	カワイソウ
かわいらしい	カワイラシイ
かわき切る	カワキキル
かわゆい	カワユイ
かんしゃく玉	カンシヤクタマ
かん木	カンキ
かん違い	カンチガイ
かん高	カンタカ
かん高い	カンタカイ
かん高く	カンタカク
か弱さ	カヨワサ
か所	カトコロ
か条	カジヨウ
か許り	カバカリ
がくつく	ガクツク
がじゃまめ	ガジヤマメ
がぜん	ガゼン
がったんごっとん	ガツタンゴツトン
がっちり屋	ガツチリヤ
がつがつ食べる	ガツガツタベル
がまんできなくて	ガマンデキナクテ
がまん強い	ガマンツヨイ
がまん強さ	ガマンツヨサ
がま口	ガマクチ
がらがら蛇	ガラガラヘビ
がらくた	ガラクタ
がらんとなる	ガラントナル
がら明き	ガラアキ
がりがり音を立てる	ガリガリオトヲタテル
がんじょう	ガンジヨウ
がんらい	ガンライ
がん張り	ガンハリ
がん腫病	ガンシユビヨウ
きかぬ気	キカヌキ
きこり	キコリ
きさくさ	キサクサ
きざっぽい	キザツポイ
きしませる	キシマセル
きしらせる	キシラセル
きしる音	キシルオト
きず	キズ
きずあと	キズアト
きず口	キズクチ
きせる	キセル
きちっと	キチツト
きちんとした	キチントシタ
きちんとしつけられた	キチントシツケラレタ
きちんとなる	キチントナル
きちんと置く	キチントオク
きっかい	キツカイ
きっと	キツト
きっぱりと	キツパリト
きつく張った	キツクハツタ
きな粉	キナコナ
きのこ雲	キノコクモ
きびしく	キビシク
きまじめ	キマジメ
きまって	キマツテ
きまり悪さ	キマリワルサ
きまり文句	キマリモンク
きみ悪い	キミワルイ
きもっ玉	キモツタマ
きゃしゃ	キヤシヤ
きゅうきゅうという音	キユウキユウトイウオト
きゅっと	キユツト
きょう	キヨウ
きょうは	キヨウハ
きょしちょう座	キヨシチヨウザ
きらきらする光	キラキラスルヒカリ
きらっと	キラツト
きらびやか	キラビヤカ
きらめき	キラメキ
きららか	キララカ
きら星	キラホシ
きりきりしゃんと	キリキリシヤント
きりっと	キリツト
きりっとした	キリツトシタ
きれい	キレイ
きれいさっぱり	キレイサツパリ
きれいにする	キレイニスル
きわだって	キワダツテ
きわめて	キワメテ
きんきら	キンキラ
きんたま	キンタマ
き損	キソン
ぎくぎく	ギクギク
ぎこちなさ	ギコチナサ
ぎごちない	ギゴチナイ
ぎっちぎっち	ギツチギツチ
ぎっちょ	ギツチヨ
ぎゅうぎゅう詰まった	ギユウギユウツマツタ
ぎゅうぎゅう詰めの	ギユウギユウツメノ
ぎゅう詰めの	ギユウツメノ
ぎゅっと	ギユツト
ぎょうぎょうしい	ギヨウギヨウシイ
ぎょうさん	ギヨウサン
ぎょう埆	ギヨウカク
ぎりぎりの	ギリギリノ
くいぜ	クイゼ
くい止める	クイヤメル
くい違い	クイチガイ
くがい油	クガイアブラ
くぎ付ける	クギツケル
くくしあげる	ククシアゲル
くくり目	ククリメ
くく鳴	ククメイ
くぐつ女	クグツオンナ
くぐり戸	クグリコ
くぐり抜ける	クグリヌケル
くさび	クサビ
くしゃみ	クシヤミ
くじ	クジ
くじ引き	クジヒキ
くすくす笑い	クスクスワライ
くすぐったい	クスグツタイ
くすぐり	クスグリ
くすんで	クスンデ
くず	クズ
くずおれる	クズオレル
くずす	クズス
くずれる	クズレル
くずれ落ちる	クズレオチル
くず折れる	クズオレル
くず物	クズモノ
くず篭	クズカゴ
くず鉄	クズテツ
くそまじめ	クソマジメ
くたびれ儲け	クタビレモウケ
くだくだしさ	クダクダシサ
くださる	クダサル
くだらない	クダラナイ
くだり腹	クダリハラ
くちなし色	クチナシイロ
くちばし	クチバシ
くっきりした	クツキリシタ
くっきりと	クツキリト
くっちゃべる	クツチヤベル
くっついた	クツツイタ
くっついていない	クツツイテイナイ
くっつかす	クツツカス
くっつき	クツツキ
くっつく	クツツク
くつろいだ気分	クツロイダキブン
くつろいで	クツロイデ
くつろぎ	クツロギ
くど	クド
くどき落とす	クドキオトス
くねって進む	クネツテススム
くび	クビ
くぼみ	クボミ
くぼ地	クボチ
くまなく	クマナク
くまなく捜す	クマナクサガス
くまなく探すこと	クマナクサガスコト
くみ取る	クミトル
くも膜下腔	クモマクシタコウ
くり下げる	クリサゲル
くり回す	クリマワス
くり延べる	クリノベル
くり抜く	クリヌク
くり色の	クリイロノ
くり貫く	クリツラヌク
くり返し	クリカエシ
くり返す	クリカエス
くる病	クルビヨウ
くれぐれ	クレグレ
くれてやる	クレテヤル
くれる	クレル
くノ一	クノイチ
ぐいっと引っ張る	グイツトヒツパル
ぐいと	グイト
ぐさと	グサト
ぐず	グズ
ぐず付く	グズツク
ぐっつり	グツツリ
ぐっと	グツト
ぐらぐらする	グラグラスル
ぐらりぐらり	グラリグラリ
ぐろい	グロイ
けが	ケガ
けしかける	ケシカケル
けじめを付ける	ケジメヲツケル
けた外れ	ケタハズレ
けだし	ケダシ
けちくさい	ケチクサイ
けちんぼ	ケチンボ
けち臭い	ケチクサイ
けっこう	ケツコウ
けったるい	ケツタルイ
けつの穴	ケツノアナ
けなげ	ケナゲ
けばけばしさ	ケバケバシサ
けれども	ケレドモ
けんか売り	ケンカウリ
けんか早い	ケンカハヤイ
けんそんして	ケンソンシテ
けんびきょう座	ケンビキヨウザ
けん引	ケンヒキ
げっぷを出す	ゲツプヲダス
げっ歯類	ゲツハルイ
こうごうしい	コウゴウシイ
こうして	コウシテ
こうもり傘	コウモリカサ
こうるさく	コウルサク
こきみ悪い	コキミワルイ
こぎつね座	コギツネザ
こけもも	コケモモ
こけ威かし	コケイカシ
こけ威し	コケイシ
ここ	ココ
ここちよく	ココチヨク
ここに	ココニ
こころなし	ココロナシ
こころもち	ココロモチ
こざかしい	コザカシイ
こしき	コシキ
こし器	コシウツワ
こし方	コシホウ
こすい	コスイ
こすっからい	コスツカライ
こすっ辛い	コスツツライ
こそこそする	コソコソスル
こそこそ動く	コソコソウゴク
こちらでは	コチラデハ
こちらに	コチラニ
こちらへ	コチラヘ
こっけいに	コツケイニ
こっそりと	コツソリト
こっそりやる	コツソリヤル
こっそり抜け出す	コツソリヌケダス
こっそり持ち出す	コツソリモチダス
こっそり持ち込む	コツソリモチコム
こっそり連れ出す	コツソリツレダス
こっそり連れ込む	コツソリツレコム
こっぴどさ	コツピドサ
こっ酷さ	コツコクサ
こつこつ働く	コツコツハタラク
こづき回す	コヅキマワス
ことごとく	コトゴトク
ことさら	コトサラ
ことに	コトニ
ことのほか	コトノホカ
ことば巧み	コトバタクミ
こと新しい	コトアタラシイ
こと細か	コトコマカ
こと足りる	コトタリル
こなす	コナス
こね上げる	コネアゲル
こね合わす	コネアワス
このあたりに	コノアタリニ
この上	コノウエ
この上とも	コノアガトモ
この上ない	コノジヨウナイ
この上なく	コノジヨウナク
この上なく幸せに	コノジヨウナクシアワセニ
この世	コノヨ
この世のものとは思えない	コノヨノモノトハオモエナイ
この世の地獄	コノヨノジゴク
この世を去る	コノヨヲサル
この先	コノサキ
この前の	コノマエノ
この後	コノノチ
この時	コノトキ
この点で	コノテンデ
この節	コノフシ
この間	コノカン
こびつく	コビツク
こびと	コビト
こびりつく	コビリツク
こび付く	コビツク
こぶ	コブ
こぶ胃	コブイ
こぼれ-	コボレ-
こぼれた	コボレタ
こぼれ幸い	コボレサイワイ
こまめ	コマメ
こみ上げる	コミアゲル
これから	コレカラ
これによって	コレニヨツテ
これまでに	コレマデニ
